trial,sigma,low_threshold,high_threshold,dice_slice
192,2.1616902296536886,46.229519664805245,121.89579579390224,0.3647898493259318
349,2.3668617444529643,47.13707669940756,131.99067819077143,0.3634907926341073
354,2.389064087871659,47.05246313844151,104.26364360650584,0.3634907926341073
314,2.376831348476576,47.486724683094835,127.59738242170216,0.3634907926341073
380,2.3812490761857643,45.40352195598358,131.29007511232325,0.3632
315,2.383246840969619,45.444022165036095,126.3612156121039,0.3632
277,2.3762190492836686,42.094838048331,123.848781269789,0.36290967226219023
260,2.38878826572334,42.04927662930491,129.42944975655539,0.36290967226219023
252,2.3811533801328215,42.60845154541995,127.95967283637566,0.36290967226219023
326,2.3813610079856344,44.67997626995454,105.29952370232225,0.36290967226219023
289,2.376970208817408,14.485388877060267,127.53068959047975,0.36233040702314445
360,2.367592034984332,12.459259220696586,145.9963748320307,0.36233040702314445
271,2.383530941196493,15.040580111173867,105.16485400804089,0.36233040702314445
268,2.3879035753769795,13.920157725846313,127.05752133521861,0.36233040702314445
327,2.388238211850967,24.108344497236864,105.36585836592448,0.36233040702314445
329,2.377876975671953,23.19800690316678,127.59946991565177,0.36233040702314445
385,2.368110763336209,11.431798335401528,146.70366479379845,0.36233040702314445
287,2.3848028449879948,14.164008822606736,103.62930623152404,0.36233040702314445
313,2.372773107685406,13.037020924410564,128.11490422139144,0.36233040702314445
273,2.381999424849492,14.54072311385207,125.18334582881741,0.36233040702314445
369,2.380074709930109,12.249352791693113,131.32049405747418,0.36233040702314445
242,2.3884553441832113,15.484807135240903,127.33431832539527,0.36233040702314445
321,2.37138076551052,23.338959112943964,129.6680472632745,0.36233040702314445
303,2.3868808617233217,15.33579735081253,125.4617927686972,0.36233040702314445
295,2.378924691297657,13.623283568696475,125.47300752437097,0.36233040702314445
350,2.363957181829021,47.2976468810767,131.68640486245775,0.36217948717948717
320,2.3599972091493027,46.96184217433641,127.48106893209312,0.36217948717948717
347,2.399302321773175,40.52668651103827,109.91713298417648,0.36217948717948717
345,2.3608016248924053,46.80897794312132,106.63552808493505,0.36217948717948717
318,2.394621633407432,45.519616352546656,143.45203358627447,0.36188951160928745
299,2.391327254008656,42.19871102925609,125.46104727882302,0.3616
229,2.364323668466513,42.961207831795,125.30745947917437,0.3616
351,2.3565136209193156,49.52977818863182,131.4461827687938,0.3616
257,2.3927545287708236,42.10522711202013,124.6873712197372,0.3616
336,2.363960602955498,44.94248299403968,105.33494244715996,0.3616
323,2.394271944379178,45.04786291228189,143.44653992822106,0.3616
281,2.4066545449351366,14.33966185423926,127.26535202388196,0.3616
344,2.3565165235928425,46.6541525541418,131.0417965713829,0.3613109512390088
71,2.3928490519087044,39.05399127711657,110.4539332860319,0.3613109512390088
307,2.390827346424782,14.0677537423061,127.61263002706069,0.3610223642172524
301,2.3636588637796887,14.464643788092333,126.24036564963585,0.3610223642172524
319,2.3908076488565664,22.303361818792578,127.88966469777111,0.3610223642172524
348,2.338408577486799,47.3790096020563,131.65323063361407,0.3610223642172524
306,2.36294652614622,14.25143251208914,128.99004341050832,0.3610223642172524
312,2.359989910256653,23.881642043158035,130.06703958765783,0.3610223642172524
248,2.3901671107581026,15.58961693228928,106.87749969983955,0.3610223642172524
352,2.3612627743877717,24.245161326279188,144.57129179065117,0.3610223642172524
330,2.3925756060914947,23.51738807984698,130.99288830873544,0.3610223642172524
304,2.3971628937440173,14.881675148716937,127.28008842022169,0.3610223642172524
341,2.42611355920775,45.15970090888858,146.63365818799497,0.3608660785886127
338,2.3520217371825387,45.558351809932276,110.90761616845657,0.3607342378292099
265,2.3535242601590567,42.11513452740072,125.36415635199971,0.3607342378292099
331,2.336507622100069,48.253489054260534,127.67367448970434,0.3607342378292099
346,2.3387464732103225,46.86734488562352,106.77360246400947,0.3607342378292099
294,2.4090526460645294,14.80153892632211,126.77140389008366,0.3605769230769231
339,2.420316089349026,44.45282186883637,131.99205467831865,0.3605769230769231
334,2.3268757675303955,49.85729080761425,145.50817143515678,0.36044657097288674
340,2.35096973744083,45.22363147102915,141.5718267561248,0.36044657097288674
324,2.346107579953145,45.088149904322016,109.58862668892509,0.36044657097288674
200,2.3397129408285746,42.39040721518141,123.04026565815593,0.36044657097288674
384,2.3557250993150127,11.867223163755666,146.27187133716268,0.36044657097288674
388,2.3403043289543426,45.69770396035678,132.04745355161916,0.36044657097288674
55,2.12824316498311,37.965404843487555,112.60013250130305,0.36037441497659906
92,2.148509274229718,38.13600230793249,114.229170036752,0.36037441497659906
169,1.9248567166785873,18.04736735816277,119.12825895878333,0.36024844720496896
106,1.9257401837634034,17.503369459065944,149.99800071085753,0.36024844720496896
383,2.3536370492885115,11.150686738350384,131.25198760490912,0.3601593625498008
88,2.0827595526022633,38.79634840187763,113.80003937195485,0.36009353078721745
232,2.415289721481513,15.915500790773843,125.89501889476985,0.36
302,2.4192242749796837,13.80539768863025,126.15604289952675,0.36
279,2.4152247173382015,14.837795272577665,125.63745383962959,0.36
275,2.4268863255601034,14.064771480108941,127.10282063204075,0.36
159,1.988857018139062,18.75736905223518,116.75689804122402,0.3599689681923972
127,2.0010927271082544,17.792354878761408,115.46957384409782,0.3599689681923972
112,2.0103365337571883,25.539908317512946,114.85079130529104,0.3599689681923972
167,1.930814313002812,17.721341905085463,122.15699699839182,0.3599689681923972
120,2.0160769031665313,27.822838931730388,117.66699392566858,0.3599689681923972
93,2.0214647062039215,37.16206331761681,114.74141792589353,0.3599689681923972
155,1.9242286044519532,16.08168385793779,119.90836342626567,0.3599689681923972
136,2.000859382772711,16.272797639216044,118.44540645010039,0.3599689681923972
132,1.9316233081182603,27.923569890655948,118.59451008366042,0.3599689681923972
297,2.3483526797243064,14.18524222560641,125.32401387275107,0.35987261146496813
311,2.347726174195121,13.435864364698878,128.98645093017785,0.35987261146496813
391,2.345807304287159,11.85436170241519,131.51731796010893,0.35987261146496813
325,2.341699776126606,24.199813792147808,131.98736690383063,0.35987261146496813
316,2.346565709888,14.496748982343199,128.71777251827683,0.35987261146496813
353,2.4458839005686746,45.576668207160075,130.5301837250954,0.3598393574297189
54,2.1040477065187284,38.44077013621957,110.16622203723315,0.3598130841121495
171,1.9643031490756258,18.43395445393491,122.8545819861121,0.35968992248062015
173,1.9651177779187308,17.80107302729365,120.14093818201418,0.35968992248062015
102,1.9773036153507324,37.678133868231086,117.74462923908523,0.35968992248062015
119,1.97998418424064,38.28440559202443,115.78895617263693,0.35968992248062015
85,1.9678706670534645,35.66876179395793,115.78411088492443,0.35968992248062015
118,1.9653237675842468,27.132949892522362,115.98004179542222,0.35968992248062015
84,1.9505091176662035,38.76725418718786,117.66727970672153,0.35968992248062015
113,1.9654675986443226,17.769574530149296,117.30992413669635,0.35968992248062015
150,1.9703215890068648,18.342240511905995,118.65315175695793,0.35968992248062015
133,1.9814040758916096,17.879566816913847,117.54288955159399,0.35968992248062015
130,1.964616038692582,27.33251541454465,116.30514131990408,0.35968992248062015
308,2.336156233969133,14.611624172571483,127.87748945120485,0.35958631662688945
309,2.4304113279899004,42.440860079197684,127.8645732318136,0.3595505617977528
274,2.4370336533264014,41.91698533882606,128.38070026374993,0.3595505617977528
387,2.332664364360508,11.487474596549458,132.18488222138043,0.35930047694753575
225,2.4389029114195195,15.227916091547872,124.7810430630946,0.358974358974359
90,2.0286111060340777,37.632925946064915,112.77744040648015,0.358974358974359
317,2.4395892071925975,13.027269454442889,129.30088039902583,0.358974358974359
143,2.024311211542562,19.824819375435723,120.66226009007919,0.358695652173913
117,2.0261087803928888,26.53847376143704,115.09365841997648,0.358695652173913
79,2.025224355642221,36.69195833775446,114.9668671530361,0.358695652173913
83,2.0483580089377886,37.75989086275867,115.45103578405909,0.358695652173913
180,2.13015724661038,18.296487507454934,122.77859760569324,0.358695652173913
101,2.0466572646948746,17.632996021196085,113.90776427819377,0.358695652173913
87,2.0638005134074424,35.18205387641338,118.9575640228544,0.3584173778122576
126,1.960093635264591,26.63726889091093,116.54787922101114,0.3584173778122576
179,2.1157105107550778,17.576284628460805,137.80665866023543,0.3584173778122576
163,2.0660616887970207,16.127437424414964,115.99119020381934,0.3584173778122576
154,2.0742252785507582,18.145941454085253,119.22448417620232,0.3584173778122576
110,1.954945808860693,25.997649757997852,116.89556791075641,0.3584173778122576
140,2.0688261240258856,18.623730642779066,121.13958090060004,0.3584173778122576
104,2.0797783608503466,27.711015787734844,115.807744384767,0.3584173778122576
116,1.9588530727607167,37.92899582194622,116.92226258047177,0.3584173778122576
108,2.087533045412613,38.21221433638721,117.05871729205248,0.3584173778122576
68,2.1354854831960988,37.510007450901284,110.85596021735248,0.3584173778122576
67,1.9607150602151482,36.30353339019882,115.9677213946018,0.3584173778122576
160,1.9103517622502546,18.174758586770423,119.72161664483087,0.3581395348837209
156,1.9119540033529483,18.727301288934846,120.61740089346578,0.3581395348837209
161,1.91174470614838,18.073611289644873,139.2116270785755,0.3581395348837209
142,1.9098542172558661,17.98149675459247,119.8247056638296,0.3581395348837209
187,1.6555292783918967,18.81951871885233,136.91405641554454,0.3581395348837209
371,2.5224461494311146,45.349357109726014,147.7750494111056,0.3579454253611557
332,2.4676252603396804,40.2286159125849,127.73606394783941,0.3579454253611557
363,2.5303965359156306,45.467268181378934,145.64792556644215,0.3579454253611557
364,2.5237603579085106,45.26502360672895,130.81809316394902,0.3579454253611557
162,1.9015192543891068,18.48274290695655,122.21430893440906,0.3578621223857475
153,1.9048787632535316,18.073028758753278,120.3806832394279,0.3578621223857475
8,2.0442589323878386,17.353084457366336,117.49863312585155,0.35742035742035744
103,2.0442083051420155,38.545187421361874,116.90149528941626,0.35742035742035744
296,2.499870650535984,14.232942316087346,127.13692338823309,0.35708566853482787
372,2.5162904923417604,11.357089421827705,106.7981579013713,0.35708566853482787
137,1.8905872407628805,18.22550263065293,123.20123520648916,0.35686578743211794
168,1.8861345712107365,18.512113261037538,121.1789872723438,0.35686578743211794
170,1.8870314978318734,17.923310345865023,120.95286194973167,0.35686578743211794
175,1.881296053893681,18.132594263573374,121.37111524594631,0.35686578743211794
184,1.7000791607844756,17.87343189434797,138.59081327298938,0.35686578743211794
125,1.8848365562349372,27.680417692042674,149.6898095107206,0.35686578743211794
182,2.1708416051800232,18.942943483325838,121.82137876069106,0.35686578743211794
181,2.169775327484347,15.592398252403846,123.8598131373548,0.35686578743211794
147,1.8870136392373857,18.387123484974925,121.29029221779194,0.35686578743211794
240,1.692215441062631,15.508469394875645,134.42841630816375,0.35658914728682173
18,1.7030818066654483,20.736381202369376,137.92009654447264,0.35658914728682173
373,2.5516957926767354,46.06873994720587,107.46728141274711,0.3563402889245586
381,2.547010247348724,44.37145310563918,105.92090598845189,0.35605453087409783
370,2.5479392763335103,45.79817516277664,108.43589264446268,0.35605453087409783
366,2.5704269215761038,46.45533338079861,130.3011723188225,0.35605453087409783
396,2.544830482734484,45.67247359446477,131.55155623377456,0.35605453087409783
378,2.552072967694009,45.001713173082585,131.23978797382026,0.35605453087409783
375,2.5393743855766577,45.73718769915161,104.24410727371286,0.3557692307692308
374,2.539847257173413,44.94814170149761,146.3855098478073,0.3557692307692308
367,2.537814659644237,44.69635690192146,105.13747833242287,0.3557692307692308
361,2.5589242228892006,46.763176690713564,131.41143495640273,0.3557692307692308
365,2.5418507163962105,45.850530274868376,145.32973210707317,0.3557692307692308
377,2.546719115359376,11.365721634016822,131.67193884818883,0.355484387510008
27,2.5462860015795625,8.790601516580953,137.99086901993624,0.355484387510008
359,2.559590420759277,45.23586456409288,105.33365738406066,0.355484387510008
368,2.5498883918171633,10.249932565730683,132.51344476458848,0.355484387510008
398,2.551165343876937,11.510385978562297,132.0487591506184,0.355484387510008
178,1.7476875124324605,17.870314156525524,136.72377887135724,0.35531419705197825
362,2.5596106596192594,40.28464041253136,105.550000991955,0.3552
379,2.538795552121432,10.88901486978055,146.5280318307638,0.3552
35,2.5378403603253834,17.753352184093174,101.33704185586127,0.3552
382,2.558218911220882,10.630789520713236,131.57007393101563,0.354916067146283
390,2.6191599600431426,44.2978652641801,131.04338005426774,0.35313001605136435
28,2.2445958117902487,23.431817846221303,107.70333622444501,0.35303265940902023
46,2.6290785894843514,31.761935424008666,108.78268869819958,0.3528468323977546
51,2.630050251458912,31.240582326568994,111.04299847392247,0.3528468323977546
376,2.5776190544143334,11.677869440606225,103.67157243637406,0.3525641025641026
45,2.714233175664126,33.036614538078844,108.97003604434074,0.3525641025641026
48,2.7134717891252143,31.297640432112406,107.73600613889053,0.3525641025641026
392,2.585929060467931,11.450001977689777,131.30112376871705,0.3522818254603683
47,2.7073897850328454,30.905673634292036,107.54023951089975,0.3522818254603683
389,2.616111197021945,45.3896087837629,105.98991490840484,0.35180722891566263
399,2.5875815596417047,45.08678683226876,131.99031507591238,0.35152487961476725
395,2.591168288315288,11.622883562106036,131.99494051653392,0.3506805444355484
386,2.60316975313841,45.414853552029896,131.9009209380484,0.3504823151125402
397,2.600960428786468,11.466979221079825,132.69025818989783,0.3496391339214114
394,2.5999196440059444,11.598295432333046,145.9957071954981,0.3496391339214114
393,2.598996441320814,11.821060434274603,132.6763312879288,0.3496391339214114
49,2.7237406521828134,30.76370523041782,103.6597227264079,0.3496391339214114
44,2.7702225319650977,33.283839983556874,102.61479517629475,0.34935897435897434
50,2.760901303890045,30.96589396925877,110.05869283377179,0.34935897435897434
19,2.7840333322848316,31.58763913189006,94.49833533282707,0.3480352846832398
10,2.8035608792983524,22.83650392660726,129.94197637938467,0.3474779823859087
233,1.6976198206534947,43.047345645925944,127.12268102324646,0.3420074349442379
231,1.5997637561006295,42.04267204465356,128.3193693301508,0.3385070214338507
251,1.6009743355082953,41.91710078741679,126.85132140311529,0.3385070214338507
89,2.045349259610142,39.570584478129945,110.5081795598032,0.33821376281112736
52,1.9811408617402786,40.00623993730204,112.67643036029034,0.33819241982507287
86,2.008972201069249,37.932946063940186,106.75809917315506,0.3367198838896952
70,1.9254971949619009,38.0076349506735,114.56070698562334,0.3364757070340827
74,1.924927500168997,38.521943800671856,114.3736507930692,0.3364757070340827
